Log message for Timing logs log data at Mon Aug 10 22:11:56 2020
-----------------------------------
-----------------------------------
Logged in microseconds
Loop  Boundary_check  Track_process   MPCC    Total
747           0            0        5565     5566
748           0            0        4507     4507
749           0            0        4983     4984
750           0            0        5545     5545
751           0            0        5208     5209
752           0            0        5916     5917
753           0            0        5223     5223
754           0            0        5211     5212
755           0            0        5403     5404
756           0            0        4867     4868
757           0            0        4827     4828
758           0            0        4612     4613
759           0            0        4855     4856
760           0            0        4921     4921
761           0            0        4492     4493
762           0            0        4108     4109
763           0            0        5414     5414
764           0            0        3774     3774
765           0            0        4277     4277
766           0            0        4839     4840
767           0            0        4252     4253
768           0            0        5705     5706
769           0            0        5049     5050
770           0            0        5268     5269
771           0            0        5114     5114
772           0            0        5161     5162
773           0            0        5327     5328
774           0            0        5183     5183
775           0            0        5197     5197
776           0            0        6099     6100
777           0            0        4304     4305
778           0            0        3769     3770
779           0            0        4575     4576
780           0            0        5227     5228
781           0            0        6073     6073
782           0            0        3551     3552
783           0            0        5465     5465
784           0            0        4884     4885
785           0            0        5356     5357
786           0            0        5282     5283
787           0            0        5341     5341
788           0            0        3988     3989
789           0            0        5615     5616
790           0            0        4665     4666
791           0            0        5274     5274
792           0            0        5180     5180
793           0            0        5005     5006
794           0            0        5352     5353
795           0            0        4268     4269
796           0            0        5093     5093
797           0            0        4956     4957
798           0            0        5075     5076
799           0            0        4911     4911
800           0            0        5453     5454
801           0            0        3627     3628
802           0            0        4845     4846
803           0            0        3853     3853
804           0            0        4094     4095
805           0            0        5200     5201
806           0            0        6227     6228
807           0            0        5126     5127
808           0            0        3972     3972
809           0            0        4275     4276
810           0            0        4966     4967
811           0            0        6611     6612
812           0            0        4622     4623
813           0            0        5087     5089
814           0            0        4542     4543
815           0            0        5273     5274
816           0            0        5850     5851
817           0            0        4990     4991
818           0            0        5189     5189
819           0            0        5973     5974
820           0            0        5319     5319
821           0            0        5267     5268
822           0            0        5334     5335
823           0            0        5821     5822
824           0            0        5740     5741
825           0            0        5974     5975
826           0            0        5110     5111
827           0            0        11056     11057
828           0            0        8946     8947
829           0            0        8202     8203
830           0            0        7677     7678
831           0            0        7106     7107
832           0            0        7086     7086
833           0            0        4827     4828
834           0            0        5919     5920
835           0            0        5970     5971
836           0            0        7997     7999
837           0            0        7559     7559
838           0            0        7640     7641
839           0            0        7450     7451
840           0            0        10355     10356
841           0            0        9490     9491
842           0            0        9420     9421
843           0            0        11223     11224
844           0            0        6501     6502
845           0            0        6607     6608
846           0            0        8270     8271
847           0            0        8215     8216
848           0            0        8213     8214
849           0            0        6759     6760
850           0            0        8782     8782
851           0            0        7003     7003
852           0            0        6827     6828
853           0            0        8833     8834
854           0            0        6884     6884
855           0            0        6796     6797
856           0            0        6695     6696
857           0            0        8460     8461
858           0            0        7710     7711
859           0            0        8262     8263
860           0            0        7550     7550
861           0            0        7256     7257
862           0            0        3762     3763
863           0            0        3160     3161
864           0            0        2760     2761
865           0            0        2905     2906
866           0            0        2010     2011
867           0            0        2300     2301
868           0            0        2037     2038
869           0            0        5300     5300
